Name,Supplier,PartNumber,Price,DocURL,Skip,MirroredConnector,Backwards,Connectors,CopyComponents,PinMap,DownloadType,DownloadURL,Filename
Adafruit Mini 8x8 LED Matrix w/I2C Backpack - Red,Adafruit,870,$9.95 ,http://adafru.it/870,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit min8x8 backpack.brd
Adafruit Mini 8x8 LED Matrix w/I2C Backpack - Ultra Bright White,Adafruit,1080,$13.50 ,http://adafru.it/1080,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit min8x8 backpack.brd
"Adafruit Mini 0.8"" 8x8 LED Matrix w/I2C Backpack - Pure Green",Adafruit,1633,$10.95 ,http://adafru.it/1633,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit min8x8 backpack.brd
"Adafruit 1.2"" 4-Digit 7-Segment Display w/I2C Backpack - Green",Adafruit,1268,$18.95 ,http://adafru.it/1268,,FALSE,TRUE,JP1,,N$8:IO,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2in 7-segment.brd
"Adafruit 1.2"" 4-Digit 7-Segment Display w/I2C Backpack - Yellow",Adafruit,1269,$17.50 ,http://adafru.it/1269,,FALSE,TRUE,JP1,,N$8:IO,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2in 7-segment.brd
"Adafruit 1.2"" 4-Digit 7-Segment Display w/I2C Backpack - Yellow",Adafruit,1270,$17.50 ,http://adafru.it/1270,,FALSE,TRUE,JP1,,N$8:IO,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2in 7-segment.brd
Arduino Micro with Headers - 5V 16MHz - (ATmega32u4 - assembled),Adafruit,1086,$24.95 ,http://adafru.it/1086,,FALSE,FALSE,J5 J6,,,zip,http://arduino.cc/en/uploads/Main/arduino-micro-reference-design.zip,Arduino_Micro_with_Headers_5V_16MHz_ATmega32u4_assembled/Arduino_Micro_Rev03j.brd
Arduino Micro without Headers - 5V 16MHz ATmega32u4 - Assembled,Adafruit,1315,$22.95 ,http://adafru.it/1315,,FALSE,FALSE,J5 J6,,,zip,http://arduino.cc/en/uploads/Main/arduino-micro-reference-design.zip,Arduino_Micro_with_Headers_5V_16MHz_ATmega32u4_assembled/Arduino_Micro_Rev03j.brd
Si4703 FM Tuner Basic Breakout,Sparkfun,11083,$19.95 ,https://www.sparkfun.com/products/11083,,FALSE,FALSE,JP1,,,svn,https://github.com/sparkfun/Si4703_FM_Tuner_Evaluation_Board,Si4703_FM_Tuner_Evaluation_Board/trunk/Hardware/Si470x-Eval.brd
Pressure Sensor - MS5803-14BA Breakout,Sparkfun,12909,$59.95 ,https://www.sparkfun.com/products/12909,,FALSE,FALSE,JP1,,,svn,https://github.com/sparkfun/MS5803-14BA_Breakout,MS5803-14BA_Breakout/trunk/Hardware/MS5803-14BA_Breakout.brd
SD/MMC Card Breakout,Sparkfun,12941,$9.95 ,https://www.sparkfun.com/products/12941,,FALSE,FALSE,JP5,U$5 U$4,,svn,https://github.com/sparkfun/SD-MMC_Breakout,SD-MMC_Breakout/trunk/Hardware/SD_MMC Breakout-v20.brd
Adafruit Micro Lipo - USB LiIon/LiPoly charger,Adafruit,1304,$5.95 ,http://adafru.it/1304,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-MicroLipo-PCB,
Stereo 2.8W Class D Audio Amplifier - I2C Control AGC - TPA2016,Adafruit,1712,$9.95 ,http://adafru.it/1712,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-TPA2016-PCB,Adafruit-TPA2016-PCB/trunk/Adafruit TPA2016D2.brd
CAP1188 - 8-Key Capacitive Touch Sensor Breakout - I2C or SPI,Adafruit,1602,$7.95 ,http://adafru.it/1602,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-CAP1188-PCB,Adafruit-CAP1188-PCB/trunk/Adafruit CAP1188.brd
Analog Output K-Type Thermocouple Amplifier - AD8495 Breakout,Adafruit,1778,$11.95 ,http://adafru.it/1778,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-AD8495-Breakout-PCB,Adafruit-AD8495-Breakout-PCB/trunk/Adafruit AD849x_Thermo.brd
Adafruit 9-DOF IMU Breakout - L3GD20 + LSM303,Adafruit,1714,$39.95 ,http://adafru.it/1714,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-9-DOF-and-10-DOF-PCBs,
Adafruit 10-DOF IMU Breakout - L3GD20 + LSM303 + BMP180,Adafruit,1604,$49.95 ,http://adafru.it/1604,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-9-DOF-and-10-DOF-PCBs,
Adafruit Motor/Stepper/Servo Shield for Arduino v2 Kit,Adafruit,1438,$19.95 ,http://adafru.it/1438,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-Motor-Shield-V2-PCB,Adafruit-Motor-Shield-V2-PCB/trunk/Adafruit Motor Shield v2.brd
Flora RGB Smart NeoPixel version 1 - Pack of 4,Adafruit,1060,$9.95 ,http://adafru.it/1060,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit_NeoPixel,
Adafruit NeoPixel Digital RGB LED Weatherproof Strip 60 LED -1m,Adafruit,1138,$24.95 ,http://adafru.it/1138,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit_NeoPixel,
NeoPixel Stick - 8 x WS2812 5050 RGB LED with Integrated Drivers,Adafruit,1426,$5.95 ,http://adafru.it/1426,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit_NeoPixel,
Adafruit NeoPixel Shield for Arduino - 40 RGB LED Pixel Matrix,Adafruit,1430,$27.95 ,http://adafru.it/1430,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit_NeoPixel,
VS1053 Codec + MicroSD Breakout - MP3/WAV/MIDI/OGG Play + Record,Adafruit,1381,$24.95 ,http://adafru.it/1381,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-VS1053-Breakout-PCB,Adafruit-VS1053-Breakout-PCB/trunk/Adafruit VS1053 Breakout.brd
BMP180 Barometric Pressure/Temperature/Altitude Sensor- 5V ready,Adafruit,1603,$9.95 ,http://adafru.it/1603,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-BMP180-PCB,Adafruit-BMP180-PCB/trunk/Adafruit BMP180.brd
Bluefruit EZ-Link Shield - Bluetooth Arduino Serial & Programmer,Adafruit,1628,$24.95 ,http://adafru.it/1628,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-Bluefruit-Classic-PCBs,
Bluefruit EZ-Key - 12 Input Bluetooth HID Keyboard Controller,Adafruit,1535,$19.95 ,http://adafru.it/1535,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-Bluefruit-Classic-PCBs,
Bluefruit EZ-Link - Bluetooth Serial Link & Arduino Programmer,Adafruit,1588,$22.50 ,http://adafru.it/1588,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-Bluefruit-Classic-PCBs,
"OLED Breakout Board - 16-bit Color 1.27"" w/microSD holder",Adafruit,1673,$34.95 ,http://adafru.it/1673,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-1.27inch-Color-OLED-Breakout-PCB,Adafruit-1.27inch-Color-OLED-Breakout-PCB/trunk/Adafruit 1.27 128x96 RGB OLED.brd
RA8875 Driver Board for 40-pin TFT Touch Displays - 800x480 Max,Adafruit,1590,$34.95 ,http://adafru.it/1590,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-RA8875-Breakout-Board-PCB,Adafruit-RA8875-Breakout-Board-PCB/trunk/Adafruit RA8875 TFT Breakout.brd
Thermocouple Amplifier with 1-Wire Breakout Board - MAX31850K,Adafruit,1727,$14.95 ,http://adafru.it/1727,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-MAX31850-thermocouple-breakout-board,Adafruit-MAX31850-thermocouple-breakout-board/trunk/Adafruit MAX31850.brd
Stereo 20W Class D Audio Amplifier - MAX9744,Adafruit,1752,$19.95 ,http://adafru.it/1752,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-MAX9744-Amplifier-PCB,Adafruit-MAX9744-Amplifier-PCB/trunk/Adafruit MAX9744.brd
NeoPixel Ring - 16 x WS2812 5050 RGB LED with Integrated Drivers,Adafruit,1463,$9.95 ,http://adafru.it/1463,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-NeoPixel-Ring,
NeoPixel Ring - 24 x WS2812 5050 RGB LED with Integrated Drivers,Adafruit,1586,$19.95 ,http://adafru.it/1586,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-NeoPixel-Ring,
NeoPixel Ring - 12 x WS2812 5050 RGB LED with Integrated Drivers,Adafruit,1643,$7.50 ,http://adafru.it/1643,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-NeoPixel-Ring,
"OLED Breakout Board - 16-bit Color 0.96"" w/microSD holder",Adafruit,684,$29.95 ,http://adafru.it/684,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-96x64-RGB-OLED-Breakout-PCB,
Bluefruit LE - Bluetooth Low Energy (BLE 4.0) - nRF8001 Breakout,Adafruit,1697,$19.95 ,http://adafru.it/1697,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-Bluefruit-LE-nRF8001-PCB,Adafruit-Bluefruit-LE-nRF8001-PCB/trunk/Adafruit Bluefruit LE nRF8001.brd
Adafruit Trinket - Mini Microcontroller - 3.3V Logic,Adafruit,1500,$7.95 ,http://adafru.it/1500,,FALSE,FALSE,CN4 CN3 U$8 U$9,,,svn,https://github.com/adafruit/Adafruit-Trinket-PCB,Adafruit-Trinket-PCB/trunk/Adafruit Trinket 3.3V.brd
Adafruit Trinket - Mini Microcontroller - 5V Logic,Adafruit,1501,$7.95 ,http://adafru.it/1501,,FALSE,FALSE,CN4 CN3 U$8 U$9,,,svn,https://github.com/adafruit/Adafruit-Trinket-PCB,Adafruit-Trinket-PCB/trunk/Adafruit Trinket 5V.brd
"2.2"" 18-bit color TFT LCD display with microSD card breakout",Adafruit,797,$29.95 ,http://adafru.it/797,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-2.2-SPI-TFT,
"2.2"" 18-bit color TFT LCD display with microSD card breakout",Adafruit,1480,$24.95 ,http://adafru.it/1480,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-2.2-SPI-TFT,
Adafruit CC3000 WiFi Breakout with uFL Connector for Ext Antenna,Adafruit,1510,$34.95 ,http://adafru.it/1510,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-CC3000-Breakout-PCB,Adafruit-CC3000-Breakout-PCB/trunk/Adafruit CC3000 Breakout.brd
Adafruit CC3000 WiFi Breakout with Onboard Ceramic Antenna,Adafruit,1469,$34.95 ,http://adafru.it/1469,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-CC3000-Breakout-PCB,Adafruit-CC3000-Breakout-PCB/trunk/Adafruit CC3000 Breakout.brd
Adafruit NeoPixel Shield for Arduino - 40 RGB LED Pixel Matrix,Adafruit,1430,$27.95 ,http://adafru.it/1430,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-NeoPixel-Shield-PCB,Adafruit-NeoPixel-Shield-PCB/trunk/Adafruit NeoPixel Shield v2.brd
MCP4725 Breakout Board - 12-Bit DAC w/I2C Interface,Adafruit,935,$4.95 ,http://adafru.it/935,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit_MCP4725,
Adafruit NeoPixel NeoMatrix 8x8 - 64 RGB LED Pixel Matrix,Adafruit,1487,$34.95 ,http://adafru.it/1487,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-NeoPixel-8x8-Matrix,Adafruit-NeoPixel-8x8-Matrix/trunk/Adafruit_NeoMatrix_8x8.brd
"Adafruit PCB Ruler - 6""",Adafruit,1554,$4.95 ,http://adafru.it/1554,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-PCB-Ruler,Adafruit-PCB-Ruler/trunk/Adafruit PCB Reference Ruler.brd
Adafruit RGB Positive 16x2 LCD+Keypad Kit for Raspberry Pi,Adafruit,1109,$24.95 ,http://adafru.it/1109,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-16x2-LCD-Pi-Plate,Adafruit-16x2-LCD-Pi-Plate/trunk/adafruit_rgblcdplate.brd
Adafruit RGB Negative 16x2 LCD+Keypad Kit for Raspberry Pi,Adafruit,1110,$24.95 ,http://adafru.it/1110,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-16x2-LCD-Pi-Plate,Adafruit-16x2-LCD-Pi-Plate/trunk/adafruit_rgblcdplate.brd
Adafruit Blue&White 16x2 LCD+Keypad Kit for Raspberry Pi,Adafruit,1115,$19.95 ,http://adafru.it/1115,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-16x2-LCD-Pi-Plate,Adafruit-16x2-LCD-Pi-Plate/trunk/adafruit_rgblcdplate.brd
Adafruit 16-Channel 12-bit PWM/Servo Shield - I2C interface,Adafruit,1411,$17.50 ,http://adafru.it/1411,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-16-channel-PWM-Servo-Shield,Adafruit-16-channel-PWM-Servo-Shield/trunk/Adafruit PWM Servo Shield.brd
Breadboard-friendly RGB Smart NeoPixel - Pack of 4,Adafruit,1312,$7.95 ,http://adafru.it/1312,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit_Breadboard_NeoPixel_PCB,Adafruit_Breadboard_NeoPixel_PCB/trunk/Adafruit_Breadboard_NeoPixel.brd
